longitude,latitude,details
-95.95545, 41.26001, "Burger King; USA"
-95.93331, 41.23789, "Burger King; USA"
-96.02498, 41.22687, "Burger King; USA"
-96.06690, 41.26450, "Burger King; USA"
-96.66588, 40.75533, "Burger King; USA"
-96.70854, 40.77145, "Burger King; USA"
-96.70592, 40.83850, "Burger King; USA"
-95.95653, 41.29964, "Burger King; USA"
-96.65367, 40.82763, "Burger King; USA"
-96.63946, 40.85705, "Burger King; USA"
-96.68497, 40.81354, "Burger King; USA"
-96.69673, 40.79245, "Burger King; USA"
-96.68209, 40.85454, "Burger King; USA"
-96.65376, 40.78423, "Burger King; USA"
-95.99411, 41.24103, "Burger King; USA"
-95.98147, 41.25968, "Burger King; USA"
-96.05260, 41.28805, "Burger King; USA"
-95.94699, 41.21706, "Burger King; USA"
-95.97581, 41.22185, "Burger King; USA"
-84.36488, 33.84892, "Burger King; USA"
-84.37617, 33.77122, "Burger King; USA"
-84.38075, 33.91910, "Burger King; USA"
-84.33025, 33.82788, "Burger King; USA"
-84.39208, 33.75330, "Burger King; USA"
-84.38674, 33.76329, "Burger King; USA"
-84.40771, 33.68145, "Burger King; USA"
-84.38825, 33.82040, "Burger King; USA"
-84.40691, 33.78501, "Burger King; USA"
-84.31174, 33.81733, "Burger King; USA"
-81.31046, 28.51806, "Burger King; USA"
-81.28446, 28.56842, "Burger King; USA"
-81.43382, 28.61364, "Burger King; USA"
-81.47583, 28.57796, "Burger King; USA"
-81.47084, 28.45251, "Burger King; USA"
-81.41742, 28.48415, "Burger King; USA"
-81.39662, 28.47063, "Burger King; USA"
-81.39451, 28.60624, "Burger King; USA"
-81.37628, 28.51025, "Burger King; USA"
-81.36394, 28.45232, "Burger King; USA"
-121.99940, 37.35228, "Burger King; USA"
-121.97352, 37.32013, "Burger King; USA"
-121.99404, 37.30940, "Burger King; USA"
-121.93774, 37.33730, "Burger King; USA"
-121.91011, 37.42864, "Burger King; USA"
-121.88116, 37.29041, "Burger King; USA"
-121.85470, 37.33380, "Burger King; USA"
-121.91146, 37.32450, "Burger King; USA"
-121.89196, 37.36580, "Burger King; USA"
-121.86063, 37.30303, "Burger King; USA"
-122.03235, 37.30986, "Burger King; USA"
-121.81926, 37.35609, "Burger King; USA"
-122.02882, 37.39520, "Burger King; USA"
-121.84371, 37.37038, "Burger King; USA"
-121.93828, 37.37701, "Burger King; USA"
-121.95858, 37.35237, "Burger King; USA"
-121.86077, 37.22043, "Burger King; USA"
-76.51762, 39.15523, "Burger King; USA"
-76.56296, 39.29706, "Burger King; USA"
-76.50650, 39.28551, "Burger King; USA"
-76.52929, 39.29714, "Burger King; USA"
-76.58771, 39.28581, "Burger King; USA"
-76.63886, 39.24833, "Burger King; USA"
-76.61499, 39.28763, "Burger King; USA"
-76.68074, 39.03609, "Burger King; USA"
-76.65361, 39.31859, "Burger King; USA"
-76.52736, 38.98082, "Burger King; USA"
-76.73528, 39.10886, "Burger King; USA"
-76.61507, 39.29044, "Burger King; USA"
-76.59667, 39.13585, "Burger King; USA"
-76.61993, 39.17116, "Burger King; USA"
-76.62598, 39.32085, "Burger King; USA"
-76.56510, 38.93892, "Burger King; USA"
-76.63919, 39.13112, "Burger King; USA"
-79.98018, 40.42874, "Burger King; USA"
-79.94686, 40.51116, "Burger King; USA"
-80.18302, 40.45024, "Burger King; USA"
-80.01056, 40.37012, "Burger King; USA"
-79.97677, 40.38273, "Burger King; USA"
-87.99630, 43.01669, "Burger King; USA"
-87.92322, 43.09038, "Burger King; USA"
-87.94887, 42.96055, "Burger King; USA"
-87.97115, 42.98692, "Burger King; USA"
-87.90248, 43.08897, "Burger King; USA"
-87.91401, 43.07039, "Burger King; USA"
-87.92949, 43.01074, "Burger King; USA"
-87.98540, 43.06703, "Burger King; USA"
-87.95762, 43.04783, "Burger King; USA"
-87.91662, 43.11261, "Burger King; USA"
-122.41482, 37.77870, "Burger King; USA"
-122.43309, 37.78525, "Burger King; USA"
-122.46117, 37.78122, "Burger King; USA"
-122.40782, 37.78492, "Burger King; USA"
-122.41282, 37.80594, "Burger King; USA"
-122.41307, 37.77506, "Burger King; USA"
-122.41995, 37.74564, "Burger King; USA"
-122.46628, 37.76353, "Burger King; USA"
-122.42084, 37.78317, "Burger King; USA"
-122.41928, 37.76520, "Burger King; USA"
-79.29326, 43.78229, "Burger King; USA"
-79.22867, 43.75895, "Burger King; USA"
-79.39819, 43.70689, "Burger King; USA"
-93.30302, 37.04471, "Burger King; USA"
-93.49262, 37.10686, "Burger King; USA"
-93.30108, 37.24078, "Burger King; USA"
-93.27605, 37.20475, "Burger King; USA"
-93.26117, 37.23530, "Burger King; USA"
-93.29542, 37.15974, "Burger King; USA"
-93.23446, 37.18042, "Burger King; USA"
-93.27738, 37.13807, "Burger King; USA"
-83.62583, 41.60346, "Burger King; USA"
-83.59843, 41.67800, "Burger King; USA"
-83.58930, 41.70687, "Burger King; USA"
-83.63565, 41.69557, "Burger King; USA"
-83.56329, 41.69192, "Burger King; USA"
-83.56921, 41.72145, "Burger King; USA"
-83.62180, 41.65384, "Burger King; USA"
-83.66443, 41.63823, "Burger King; USA"
-83.52145, 41.64972, "Burger King; USA"
-83.72150, 41.67383, "Burger King; USA"
-85.28053, 35.01825, "Burger King; USA"
-85.26292, 35.08380, "Burger King; USA"
-85.32777, 35.09805, "Burger King; USA"
-85.21036, 34.98956, "Burger King; USA"
-85.15279, 35.00510, "Burger King; USA"
-76.63737, 39.30996, "Burger King; USA"
-111.83782, 33.58948, "Burger King; USA"
-111.83532, 33.36423, "Burger King; USA"
-111.89697, 33.62663, "Burger King; USA"
-111.70469, 33.45188, "Burger King; USA"
-111.75558, 33.33761, "Burger King; USA"
-111.92733, 33.31991, "Burger King; USA"
-111.96722, 33.37979, "Burger King; USA"
-111.95918, 33.34919, "Burger King; USA"
-111.87626, 33.32076, "Burger King; USA"
-111.75567, 33.30739, "Burger King; USA"
-111.93943, 33.39286, "Burger King; USA"
-111.92859, 33.36361, "Burger King; USA"
